50
37
2	1	282	53	5	0
4	1	292	53	5	0
6	1	302	53	5	0
8	1	312	53	5	0
10	1	322	53	5	0
12	1	332	53	5	0
14	1	342	53	5	0
16	1	352	53	5	0
18	1	362	53	5	0
19	1	372	53	5	0
21	1	282	41	5	0
23	1	292	41	5	0
25	1	302	41	5	0
27	1	312	41	5	0
29	1	322	41	5	0
31	1	332	41	5	0
33	1	342	41	5	0
35	1	372	41	5	0
38	1	352	41	5	0
40	1	362	41	5	0
41	1	352	29	5	0
43	6	221	20	5	1	380	28	5	72	164	35	5	70	380	40	5	72	380	52	5	72	274	59	5	73
44	2	194	17	5	3	148	20	5	4
45	1	180	23	4	2
47	1	161	27	7	1
48	1	171	14	6	1
49	1	139	13	5	1
50	1	223	8	6	1
51	8	166	7	6	1	224	7	6	1	148	8	6	1	222	9	6	1	184	14	6	1	217	18	1	1	156	22	6	1	170	30	6	1
53	1	282	29	5	0
54	1	342	29	5	0
56	1	292	29	5	0
58	1	302	29	5	0
60	1	312	29	5	0
62	1	322	29	5	0
64	1	332	29	5	0
75	1	167	33	5	1
